2006-11-28 | 27 | 13 | 10 | EPADBDM | COMUNICADO 55/06-SMS.3
ACOMPANHAMENTO DA EVOLUCAO DOS PRECOS REGISTRADOS, PARA FINS DO DISPOSTO NO ART. 14 DO DEC. 46.662, DE 24/11/05:
ATAS DE REGISTRO DE PRECOS - SMS.G - NOVEMBRO/06
ATA	ITEM	OBJETO	PRECO/R$
035/05	1	ISOSSORBIDA,DINITRATO 5MG SUBLINGUAL - CX. C/30 CP	0,04/CP
035/06	3	RANITIDINA 150MG - CX. C/ 125 ENV C/ 4 CP	0,0378/CP
036/05	2	ISOSSORBIDA,MONONITRATO 20MG - CX. C/30 CP	0,060/CP
036/06	3	CITRATO DE FENTANILA 0,0785MG/ML - CX. C/ 25 FR 10ML	2,88/FAM
036/06	4	CLORIDRATO DE CETAMINA 50MG/ML - CX. C/ 5 FR. 10 ML	34,14/FAM
036/06	1	TIOPENTAL SODICO EM PO - CX. C/ 25 FR. C/ 1G	5,94/FAM
037/05	4	AMINOFILINA 24 MG/ML - CX. C/ 10 AMP 10ML	0,42/AMP
037/06	2	SOFLURANO 100ML -  FR. C/ 100 ML	44,30/FR
038/05	5	DEXAMETASONA 0,1MG/ML - CX C/ 50 FR 120 ML	0,0105/ML
038/06	1	SONDA FOLLEY 2 VIAS E BALAO 5ML CALIB. 14 - CX. C/ 10 UN	0,86/UN
038/06	2	SONDA FOLLEY 2 VIAS E BALAO 5ML CALIB. 16 - CX. C/ 10 UN	0,86/UN
038/06	3	SONDA FOLLEY 2 VIAS E BALAO 5ML CALIB. 18 - CX. C/ 10 UN	0,86/UN
038/06	4	SONDA FOLLEY 3 VIAS E BALAO 5ML CALIB. 18 - CX. C/ 10 UN	2,11/UN
038/06	5	SONDA FOLLEY 3 VIAS E BALAO 5ML CALIB. 20 - CX. C/ 10 UN	2,10/UN
039/05	1	RACAO P/ CAES ADULTOS - PACOTE C/ 20 KG	3,50/KG
039/05	2	RACAO P/ CAES FILHOTES - PACOTE C/ 20 KG	3,78/KG
039/05	3	RACAO P/ GATO ADULTO - PAOTE C/ 08 KG	5,99/KG
039/05	4	RACAO P/ GATO FILHOTE - PAOTE C/ 01 KG	6,37/KG
039/06	1	ALICATE PERFURADOR DE LENCOL DE BORRACHA	28,50/UN
039/06	3	CABO P/ ESPELHO	1,60/UN
039/06	8	ESCAVADOR DUPLO PARA DENTINA N° 17	2,59/UN
039/06	5	PINCA METALICA PORTA GRAMPO TIPO PALMER	26,60/UN
039/06	7	SERINGA CARPULE	19,50/UN
039/06	6	SONDA EXPLORADORA N° 05	3,45/UN
040/05	1	CATETER P/PUNCAO VENOSA CENT.16G(20,3CM) CX.C/100UN	12,80/UN
040/05	2	CATETER P/PUNCAO VENOSA CENT.19G(20,3CM) CX.C/100UN	15,00/UN
040/05	5	CATETER P/PUNCAO VENOSA CENT.19G(30,4CM) CX.C/100UN	15,00/UN
040/05	3	CATETER P/PUNCAO VENOSA CENT.22G(20,3CM) CX.C/100UN	15,00/UN
041/06	9	ESCAVADOR DUPLO PARA DENTINA N° 18	2,59/UN
041/06	4	PINCA CLINICA UNIVERSAL	4,00/UN
041/06	11	PORTA ALGODAO  (SERVIDO)	18,00/UN
041/06	10	PORTA ALGODAO C/ MOLA (LIMPO)	18,00/UN
042/05	1	ALCOOL ETILICO 70% - P/V - CX. C/ 12 FR 1.000 ML	2,21/FR
042/06	1	ABAIXADOR DE LINGUA - PAC. C/ 100 UN	1,17/PAC
043/05	1	AGULHA  HIPOD.DESC.GENGIVAL 30G CURTA - CX. C/ 100 UN	0,2039/UN
043/06	1	CLORIDRATO  CIPROFLOXACINO 2MG/ML-CX.C/01FR 100ML	3,0899/FR
044/05	1	SONDA FOLEY C/ DUAS VIAS N° 12	1,40/UN
044/05	2	SONDA FOLEY C/ DUAS VIAS N° 20	1,54/UN
044/05	3	SONDA FOLEY C/ DUAS VIAS N° 22	1,83/UN
044/06	2	AMPICILINA SODICA 1000MG-CX.C/50 FAM 1G+ 50 AMP.DIL.5ML	1,07/FAM
045/05	1	SONDA IRRIGACAO VESICAL CALIBRE 22 - CX. C/ 10 UN	2,63/UN
045/06	4	NITROFURANTOINA 100MG - CX. C/ 24 CAP.	0,14/CAP
046/06	5	ASS.DE SULF.40MG/ML E TRIMET.8MG/ML-CX.C/50FR.C/100ML	1,2850/FR
047/05	5	METOCLOPRAMIDA 5MG/ML - CX. C/ 50 AMP 2ML	0,215/AMP
047/06	1	AMALGAMA EM CAPSULA 1 PORCOES-POTE C/ 500 CAPSULAS	1,0250/CAP
048/05	1	COLAR CERVICAL C/ SUPORTE MENTONIANO -G- VERDE	7,65/UN
048/05	2	COLAR CERVICAL C/ SUPORTE MENTONIANO -M- LARANJA	7,31/UN
048/05	3	COLAR CERVICAL C/ SUPORTE MENTONIANO -P- AZUL ROYAL	7,65/UN
048/05	4	COLAR CERVICAL C/ SUPORTE MENTONIANO -PP- LILAS	7,35/UN
048/06	2	AMALGAMA EM CAPSULA 2 PORCOES-POTE C/ 500 CAPSULAS	1,34/CAP
049/05	1	TUBO EXTENSOR P/ ASPIRACAO - DIAM.6MM X COMP.3M	2,46/UN
049/06	4	ASS.DE DIMEN.25MG/ML E PIRID.5MG/ML-CX.C/50FR.C/20ML	1,699/FR
050/06	2	ESPATULA (ESCULPIDOR) LECRON	3,95/UN
050/06	3	ESPATULA N° 07	3,46/UN
050/06	4	ESPATULA N° 31	4,00/UN
050/06	5	ESPATULA N° 36	3,76/UN
050/06	1	ESPATULA P/ INSERCAO DE RESINA N° 01	3,50/UN
050/06	6	SONDA PERIODONTAL MILIMETRADA	4,00/UN
051/05	1	AGENTE DE UNIAO MULTIUSO - KIT	41,00/KIT
051/05	2	IONOMERO DE VIDRO P/RESTAURACAO - KIT	24,00/KIT
051/06	7	ABRIDOR DE BOCA DE SILICONE	3,80/UN
051/06	12	BANDEJA METALIA 22CMX12CMX0,1CM	10,00/UN
051/06	11	CAIXA METALICA GRANDE	55,00/UN
051/06	10	CAIXA METALICA PARA ENDODONTIA	43,00/UN
051/06	9	PEDRA P/ AFIAR INSTRUMENTAL TIPO ARKANSAS	8,50/UN
051/06	8	REGUA ENDODONTICA MILIMETRADA METALICA	6,00/UN
052/05	3	HIDROXIDO DE CALCIO	14,00/KIT
052/06	3	CLORIDRATO AMIODARONA 200MG - CX. C/ 30 CP	0,086/CP
052/06	1	MALEATO DE ENALAPRIL 5MG - CX C/ 30 CP	0,022/CP
053/05	1	FIO NYLON 0,1AG.,2CM,3/8CIR.,TRI.,45CM,PRETO-CX24ENV	1,60/ENV
053/05	4	FIO NYLON3-0,1AG.,3CM,3/8CIR.,TRI.,45CM,PRETO-CX24ENV	1,76/ENV
053/05	10	FIO NYLON4-0,1AG.,2,4CM,3/8CIR.,TRI.,45CM,PRETO-CX24ENV	1,68/ENV
053/05	8	FIO NYLON4-0,1AG.,2CM,1/2CIR.,CIL.,75CM, PRETO-CX24ENV	1,85/ENV
053/06	4	CLORIDRATO HIDRALAZINA 25MG - CX. C/ 20 DRAG.	0,10/DRAG
053/06	2	PINDOLOL 5MG - CX. C/ 20 CP	0,60/CP
054/05	2	FIO NYLON2-0,1AG.,3CM,3/8CIR.,TRI.,45CM,PRETO-CX24ENV	1,75/ENV
054/05	3	FIO NYLON3-0,1AG.,2,4CM,3/8CIR.,TRI.,45CM,PRETO-CX24ENV	1,75/ENV
054/05	7	FIO NYLON4-0,1AG.,1,5CM,1/2CIR.,TRI.,45CM,PRETO-CX24ENV	2,16/ENV
054/05	9	FIO NYLON4-0,1AG.,2CM,3/8CIR.,TRI.,45CM, PRETO-CX24ENV	1,78/ENV
054/06	5	BELISATO DE ANLODIPINO 5MG - CX. C/ 480 CP.	0,0202/CP
055/05	6	FIO NYLON3-0,1AG.,3,5CM,1/2CIC.CIL.75CM,PRETO-CX24ENV	2,04/ENV
055/06	2	ARTICULAD. SEMI-AJUSTAVEIS C/ GARFOS P/ DESDENTADOS	290,00/UN
055/06	1	BOLACHA P/ ARTICULADOR SEMI-AJUSTAVEL	6,00/UN
055/06	7	CONJ.MOLDEIRAS VERNES N° 01,02 E 03 - JOGO C/ 06 UN	70,00/UN
055/06	11	ESPATULA DE GESSO	5,00/UN
055/06	5	FACA DE GESSO	5,00/UN
055/06	8	GRAL DE BORRACHA	4,30/UN
055/06	6	REGUA DE FOX	23,00/UN
056/05	5	FIO NYLON3-0,1AG.,1,5CM,1/2CIR.,TRI.,45CM,PRETO-CX24ENV	3,00/ENV
056/06	3	SACA PROTESE 	26,40/UN
056/06	4	VIBRADOR DE GESSO	145,00/UN
057/05	1	FIO NYLON5-0,1AG.,1,3CM,3/8CIR.,CIL.,75CM,PRETO-CX24 ENV	6,35/ENV
057/05	3	FIO NYLON5-0,1AG.,1CM,1/2CIR.,CIL.,45CM,PRETO-CX.24 ENV	8,00/ENV
057/06	1	LENCOL DESCARTAVEL EM BOBINA - PAC. C/ 06 ROLOS	4,03/RL
058/05	2	FIO NYLON5-0,1AG.,1,5CM,1/2CIR.,TRI.,45CM,PRETO-CX24 ENV	2,36/ENV
058/05	4	FIO NYLON5-0,1AG.,2CM,3/8CIR.,TRI.,45CM,PRETO-CX.24ENV	1,82/ENV
058/06	1	INDICADOR BIOLOGICO - CX. / 100 UN	7,9086/TB
059/05	5	FIO NYLON5-0,1AG.,2,5CM,1/2CIR.,TRI.,45CM,PRETO-CX24ENV	2,18/ENV
059/05	8	FIO NYLON6-0,2AG.,1,5CM,1/2CIR.,CIL.,75CM,PRETO-CX24ENV	5,51/ENV
059/06	2	SACO PLASTICO LIXO HOSPITALAR 100L - PAC. C/ 100 UN	0,1880/UN
059/06	1	SACO PLASTICO LIXO HOSPITALAR 30L - PAC. C/ 100 UN	0,0779/UN
060/05	6	FIO NYLON6-0,1AG.,1,5CM,1/2CIR.,TRI.,45CM,PRETO-CX24ENV	2,24/ENV
060/05	7	FIO NYLON6-0,1AG.,2CM,3/8CIR.,TRI.,45CM,PRETO-CX 24ENV	1,68/ENV
060/06	3	PENTOXIFILINA 400MG - CX. C/ 20 DRAG.	0,2064/DRAG
060/06	5	SINVASTATINA 20MG - CX. C/ 30 CP.	0,049/CP
061/05	7	DESCARTADOR AG.COL.SANGUE VACUO AMARELO-CX.60UN	9,50/UN
061/05	5	DISP.COL.SANGUE VACUO-AG.21G (CALIBRE 8)-CX.C/40 UN	1,89/UN
061/05	6	DISP.COL.SANGUE VACUO-AG.23G(CALIBRE 6)-CX.C/40UN	1,89/UN
061/05	8	SUPORTE DESCAR. AG.COL.SANGUE VACUO-CX.C/10 UN	35,00/UN
061/05	1	TUBO COL.SANGUE VACUO 5ML- ROXA-CX. C/ 100 UN	0,25/UN
061/05	3	TUBO COL.SANGUE VACUO 5ML-VERMELHA-CX. C/ 100 UN	0,28/UN
061/05	2	TUBO COL.SANGUE VACUO 6ML-AMARELO OURO-CX.C/100UN	0,4540/UN
061/06	4	NIMODIPINO 30MG - CX. C/ 30 CP	0,1260/CP
062/06	3	EQUIPO ADM.PAR.SOL.FOT.RES..MICROGOTEJ.-CX.C/200UN	4,70/UN
062/06	1	EQUIPO PRES.VEN CENT. C/ MACROGOTEJ. - CX.C/200UN	2,17/UN
062/06	5	EQUIPO SOL PAR. C/ MICROGOTEJ. - CX.C/200UN	2,00/UN
062/06	4	EQUIPO SOL.PAR. C/ MACROGOTEJ. - CX.C/200UN	1,94/UN
062/06	2	EQUIPO SOL.PAR.C/ RES. E MICROGOTEJ. - CX.C/200UN	3,30/UN
063/05	1	BANDAGEM TRIANGULAR - EMB. C/ 01 UN	3,14/UN
063/06	1	EPINEFRINA 1MG/ML - CX. C/ 100 AMP. 1 ML	0,2599/AMP
064/05	1	COMPRESSA DE GAZE  ESTERIL - ENV. C/ 05 UN	0,25/ENV
064/05	2	COMPRESSA DE GAZE ESTERIL - ENV. C/ 10 UN	0,405/ENV
064/06	3	BICARBONATO SODIO 84MG/ML - CX. C/ 100 AMP. 10 ML	0,3550/AMP
065/05	1	LAMINA DE VIDRO P/ MICROSCOPIA - CX. C/ 50 UN	2,39/CX
065/06	4	GLICONATO DE CALCIO 100MG/ML - CX. C/ 100 AMP 10ML	0,91/AMP
066/05	2	LAMINULAS DE VIDRO P/MICROSCOPIA - CX. C/ 100 UN	3,70/CX
066/06	5	CLORIDRATO DE LIDOCAINA 20MG/ML - CX. C/ 10 FAM 20 ML	0,935/FAM
067/06	1	CEFTRIAXONA SODICA 1000MG - CX.C/ 25 FAM  1G	1,27/FAM
068/05	1	FRALDA DESC. INFANTIL PEQUENA - PAC. C/ 14 UN	0,175/UN
068/06	2	OXACILINA 500MG - CX.C/ 50 FAM S/ DILUENTE	0,68/FAM
069/05	2	FRALDA DESC. INFANTIL MEDIA - PAC. C/ 14 UN	0,20/UN
069/06	4	FLUCONAZOL 2MG/ML - CX. C/ 80 FR. 100 ML	3,67/FR
070/05	2	CETOTIFENO 0,2MG/ML SOL. CX. C/ 1 FR. 120ML	2,19/FR
070/06	5	CLARITROMICINA PO 50MG/ML-CX.C/ 01FR 60ML+SERINGA 5ML	30,00/FR
071/05	4	CLORPROMAZINA 5MG/ML - CX. C/ 50 AMP. 5ML	0,813/AMP
071/06	1	APARELHO FOTOPOLIMERIZADOR DE RESINAS COMPOSTAS	530,00/UN
072/05	1	NITRATO DE MICONAZOL LOCAO 20MG/ML -  FR. 30ML	1,50/FR
072/06	2	APARARELHO P/ PROFIL. C/ ULTRA-SOM E JATO DE BICAR.	2.606,00/UN
072/06	4	AUTOCLAVE	1.494,00/UN
072/06	5	SELADORA ELETRICA	540,00/UN
073/06	3	AMALGAMADOR ELET.HOMOG.LIMALHA E MERC. EM CAP.	459,00/UN
074/05	3	LEVOMEPROMAZINA 25MG/CP - CX. C/ 200 CP	0,157/CP
074/06	1	SWAB DE HASTE PLASTICA - CX. C/100 HASTES	0,1450/UN
075/05	4	LACTULOSE SOL.ORAL 667MG/ML - CX. C/ 1 FR. 120ML	8,39/FR
075/06	1.5	ESTRADIOL (E2) - KIT C/ 100 OU 200 TESTES	6,89/TESTE
075/06	1.14	FERRITINA - KIT C/ 100 OU 200 TESTES	10,35/TESTE
075/06	1.7	FSH(HORM.FOLICULOESTIMULANTE)KIT C/100 OU 200 TESTES	5,57/TESTE
075/06	1.13	HCG(HORM.GONADOT.CORIONICO)KIT C/ 100 OU 200 TESTES	6,28/TESTE
075/06	1.6	LH (HORMONIO LUTEINIZANTE) - KIT C/ 100 OU 200 TESTES	5,57/TESTE
075/06	1.8	PROGESTERONA - KIT C/ 100 OU 200 TESTES	8,88/TESTE
075/06	1.9	PROLACTINA (PRL) - KIT COM 100 OU 200 TESTES	6,79/TESTE
075/06	1.11	PSA LIVRE - KIT C/ 100 OU 200 TESTES	8,88/TESTE
075/06	1.10	PSA TOTAL - KIT C/ 100 OU 200 TESTES	8,88/TESTE
075/06	1.1	T3 (TRIIODOTIRONINA) - KIT C/ 100 OU 200 TESTE	5,20/TESTE
075/06	1.2	T4 (TIROXINA) - KIT C/ 100 OU 200 TESTES	5,20/TESTE
075/06	1.3	T4 LIVRE (TIROXINA LIVRE) - KIT C/ 100 OU 200 TESTES	7,74/TESTE
075/06	1.12	TESTOSTERONA - KIT C/ 100 OU 200 TESTES	6,92/TESTE
075/06	1.4	TSH (HORM.TIREOESTIMULANTE)-KIT C/ 100 OU 200 TESTES	5,50/TESTE
076/05	5	POLIESTIRENOSSULFONATO  CAL. 900MG/G-CX.C/60ENV 30G	12,44/ENV
076/06	6	PIPETA DE TRANSFERENCIA NAO ESTERIL - CX. C/ 500 UN	0,18/UN
076/06	3	PONTEIRA DESCARTAVEL AMARELA - EMB. C/ 1.000 UN	11,50/PAC
077/06	4	PONTEIRA DESCARTAVEL AZUL - EMB. C/ 1.000 UN	23,00/EMB
078/06	4	CHAGAS - CX. KIT C/ 96 TESTES	5,00/TESTE
078/06	3	EPSTEIN BAAR IGM - CX. KIT C/ 96 TESTES	8,50/TESTE
078/06	1	HERPES IGG I E II - ELISA - CX. KIT C/ 96 TESTES	14,17/TESTE
078/06	2	HERPES IGM I E II - ELISA - CX. KIT C/ 96 TESTES	10,60/TESTE
078/06	5	REAG.ANTICORPOS ANTI-HIV 1+2(2ª METOD.)CX.KIT C/96TEST	6,05/TESTE
079/06	1	HIPOCLORITO  SODIO EM SOL. 25MG/ML - CX. C/120 FR 30ML	0,54/FR
080/06	1	ATADURA CREPE TIPO 1 - 04CMX180CM - PAC. C/ 12 RL	0,1475/RL
080/06	2	ATADURA CREPE TIPO 1 - 12CMX180CM - PAC. C/ 12 RL	0,2791/RL
081/05	5	CAPTOPRIL 25MG - CX. C/ 500 CP	0,0134/CP
081/06	3	ATADURA CREPE TIPO 1 - 20CMX180CM - PAC. C/ 12 RL	0,4665/RL
082/05	1	PARACETAMOL 500MG - CX. C/ 500 CP	0,0254/CP
082/06	1	ASS.CLOR. LIDOC.20MG/ML C /EPIN.5MG/ML-CX.C/10FR.20ML	2,00/FAM
082/06	5	CLORIDRATO TRAMADOL 50MG - CX. C/ 100 CAP.	0,1395/CAP
082/06	6	CLORIDRATO TRAMADOL 50MG/ML - CX. C/ 100 AMP 2ML	0,7495/AMP
083/06	2	CLORIDRATO DE LIDOCAINA 50MG/G - CX. C/ 01 BNG 25 G	3,40/BNG
084/05	3	LIDOCAINA 2% GELEIA - CX. C/ 10 BNG 30G	1,13/BNG
084/06	3	CLORIDRATO DE AMITRIPTILINA 25MG - CX. C/ 500 CP 	0,0204/CP
085/06	4	CLORIDRATO DE BIPERIDENO 2MG - CX. C/ 75 CP	0,0530/CP
086/05	1	FORMULA FIXADORA PRONTO USO P/ PREPARACAO 38L	41,99/FR
086/05	2	FORMULA REVELADORA PRONTO USO P/ PREPARACAO 38L	76,90/FR
086/06	1.3	ARMACAO  EM CHAPA C/ REFORCO NAS HASTES - FEM.	19,00/UN
086/06	1.4	ARMACAO  EM CHAPA C/ REFORCO NAS HASTES - I NF.	19,00/UN
086/06	1.2	ARMACAO  EM CHAPA C/ REFORCO NAS HASTES - MASC.	19,00/UN
086/06	1.1	ARMACAO  EM CHAPA C/ REFORCO NAS HASTES - UNISSEX	19,00/UN
086/06	1.5	ARMACAO  EM METAL C/ REFORCO NAS HASTES - UNISSEX	26,60/UN
086/06	2.4	LENTE HIGHLITE ESF.CILIND.COMB.-()+DE 10,25 A 20,00	76,00/PAR
086/06	2.3	LENTE HIGHLITE ESF.CILIND.COMB.-()+DE 6,25 A 10,00	57,00/PAR
086/06	2.2	LENTE HIGHLITE ESF.P/ MIOPIA DE 10,25 A 20,00	76,00/PAR
086/06	2.1	LENTE HIGHLITE ESF.P/ MIOPIA DE 6,25 A 10,00	57,00/PAR
086/06	2.41	LENTE INC.ACRILICO ESF.CILIND. -()- DE10,25A20,00()0,25A6,00	55,10/PAR
086/06	2.18	LENTE INC.ACRILICO ESF.CILIND. -()+DE 0,25A2,00 () 0,25A2,00	19,00/PAR
086/06	2.19	LENTE INC.ACRILICO ESF.CILIND. -()+DE 0,25A2,00 () 2,25A6,00	30,40/PAR
086/06	2.20	LENTE INC.ACRILICO ESF.CILIND. -()+DE 2,25A4,00 () 0,25A2,00	19,00/PAR
086/06	2.21	LENTE INC.ACRILICO ESF.CILIND. -()+DE 2,25A4,00 () 2,25A6,00	30,40/PAR
